Plate,Repeat,Well,Type,Time,Absorbance @ 570 (1.0s) (A)
1,1,A01,M,00:00:19.92,0.682
1,1,B01,M,00:00:20.82,0.074
1,1,C01,M,00:00:21.71,1.111
1,1,C02,M,00:00:22.60,1.132
1,1,C03,M,00:00:23.49,1.124
1,1,C04,M,00:00:24.37,1.165
1,1,C05,M,00:00:25.26,1.180
1,1,C06,M,00:00:26.15,1.149
1,1,C07,M,00:00:27.04,1.156
1,1,C08,M,00:00:27.93,1.152
1,1,C09,M,00:00:28.82,1.123
1,1,C10,M,00:00:29.71,1.092
1,1,C11,M,00:00:30.60,1.118
1,1,C12,M,00:00:31.49,1.107
1,2,A01,M,00:00:50.59,0.680
1,2,B01,M,00:00:51.49,0.074
1,2,C01,M,00:00:52.38,1.114
1,2,C02,M,00:00:53.26,1.132
1,2,C03,M,00:00:54.15,1.122
1,2,C04,M,00:00:55.04,1.169
1,2,C05,M,00:00:55.93,1.184
1,2,C06,M,00:00:56.82,1.153
1,2,C07,M,00:00:57.71,1.162
1,2,C08,M,00:00:58.60,1.159
1,2,C09,M,00:00:59.49,1.127
1,2,C10,M,00:01:00.37,1.097
1,2,C11,M,00:01:01.26,1.123
1,2,C12,M,00:01:02.15,1.112
1,3,A01,M,00:01:21.14,0.679
1,3,B01,M,00:01:22.04,0.074
1,3,C01,M,00:01:22.93,1.127
1,3,C02,M,00:01:23.82,1.139
1,3,C03,M,00:01:24.71,1.130
1,3,C04,M,00:01:25.60,1.175
1,3,C05,M,00:01:26.48,1.188
1,3,C06,M,00:01:27.37,1.157
1,3,C07,M,00:01:28.26,1.166
1,3,C08,M,00:01:29.15,1.166
1,3,C09,M,00:01:30.04,1.134
1,3,C10,M,00:01:30.93,1.102
1,3,C11,M,00:01:31.82,1.125
1,3,C12,M,00:01:32.71,1.113