accession	message	sample_name	sample_title	bioproject_accession	organism	isolate	breed	host	isolation_source	collection_date	geo_loc_name	tissue	age	altitude	biomaterial_provider	collected_by	depth	dev_stage	env_broad_scale	host_tissue_sampled	identified_by	lat_lon	sex	specimen_voucher	temp	description
SAMN32287689	Successfully loaded	D54		PRJNA913164	Crassostrea gigas	D54			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, control"
SAMN32287690	Successfully loaded	D55		PRJNA913164	Crassostrea gigas	D55			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, control"
SAMN32287691	Successfully loaded	D56		PRJNA913164	Crassostrea gigas	D56			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, control"
SAMN32287692	Successfully loaded	D57		PRJNA913164	Crassostrea gigas	D57			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, control"
SAMN32287693	Successfully loaded	D58		PRJNA913164	Crassostrea gigas	D58			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, control"
SAMN32287694	Successfully loaded	D59		PRJNA913164	Crassostrea gigas	D59			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, control"
SAMN32287695	Successfully loaded	M41		PRJNA913164	Crassostrea gigas	M41			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, single stressor"
SAMN32287696	Successfully loaded	M42		PRJNA913164	Crassostrea gigas	M42			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, single stressor"
SAMN32287697	Successfully loaded	M43		PRJNA913164	Crassostrea gigas	M43			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, single stressor"
SAMN32287698	Successfully loaded	M44		PRJNA913164	Crassostrea gigas	M44			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, single stressor"
SAMN32287699	Successfully loaded	M45		PRJNA913164	Crassostrea gigas	M45			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, control"
SAMN32287700	Successfully loaded	M46		PRJNA913164	Crassostrea gigas	M46			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, control"
SAMN32287701	Successfully loaded	M47		PRJNA913164	Crassostrea gigas	M47			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, single stressor"
SAMN32287702	Successfully loaded	M48		PRJNA913164	Crassostrea gigas	M48			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, control"
SAMN32287703	Successfully loaded	M49		PRJNA913164	Crassostrea gigas	M49			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, control"
SAMN32287704	Successfully loaded	M89		PRJNA913164	Crassostrea gigas	M89			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, control"
SAMN32287705	Successfully loaded	M90		PRJNA913164	Crassostrea gigas	M90			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, control"
SAMN32287706	Successfully loaded	N41		PRJNA913164	Crassostrea gigas	N41			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, single stressor"
SAMN32287707	Successfully loaded	N42		PRJNA913164	Crassostrea gigas	N42			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, single stressor"
SAMN32287708	Successfully loaded	N43		PRJNA913164	Crassostrea gigas	N43			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, single stressor"
SAMN32287709	Successfully loaded	N44		PRJNA913164	Crassostrea gigas	N44			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, single stressor"
SAMN32287710	Successfully loaded	N45		PRJNA913164	Crassostrea gigas	N45			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, single stressor"
SAMN32287711	Successfully loaded	N46		PRJNA913164	Crassostrea gigas	N46			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, single stressor"
SAMN32287712	Successfully loaded	N47		PRJNA913164	Crassostrea gigas	N47			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, single stressor"
SAMN32287713	Successfully loaded	N48		PRJNA913164	Crassostrea gigas	N48			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, multiple stressor"
SAMN32287714	Successfully loaded	N49		PRJNA913164	Crassostrea gigas	N49			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, multiple stressor"
SAMN32287715	Successfully loaded	N50		PRJNA913164	Crassostrea gigas	N50			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, multiple stressor"
SAMN32287716	Successfully loaded	N51		PRJNA913164	Crassostrea gigas	N51			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, multiple stressor"
SAMN32287717	Successfully loaded	N52		PRJNA913164	Crassostrea gigas	N52			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, multiple stressor"
SAMN32287718	Successfully loaded	N53		PRJNA913164	Crassostrea gigas	N53			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, multiple stressor"
SAMN32287719	Successfully loaded	N54		PRJNA913164	Crassostrea gigas	N54			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, multiple stressor"
SAMN32287720	Successfully loaded	N55		PRJNA913164	Crassostrea gigas	N55			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, multiple stressor"
SAMN32287721	Successfully loaded	N56		PRJNA913164	Crassostrea gigas	N56			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, multiple stressor"
SAMN32287722	Successfully loaded	N57		PRJNA913164	Crassostrea gigas	N57			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, multiple stressor"
SAMN32287723	Successfully loaded	N58		PRJNA913164	Crassostrea gigas	N58			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, multiple stressor"
SAMN32287724	Successfully loaded	N59		PRJNA913164	Crassostrea gigas	N59			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"diploid, multiple stressor"
SAMN32287725	Successfully loaded	R41		PRJNA913164	Crassostrea gigas	R41			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, single stressor"
SAMN32287726	Successfully loaded	R42		PRJNA913164	Crassostrea gigas	R42			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, single stressor"
SAMN32287727	Successfully loaded	R43		PRJNA913164	Crassostrea gigas	R43			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, single stressor"
SAMN32287728	Successfully loaded	R46		PRJNA913164	Crassostrea gigas	R46			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, single stressor"
SAMN32287729	Successfully loaded	R47		PRJNA913164	Crassostrea gigas	R47			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, single stressor"
SAMN32287730	Successfully loaded	R48		PRJNA913164	Crassostrea gigas	R48			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, single stressor"
SAMN32287731	Successfully loaded	R50		PRJNA913164	Crassostrea gigas	R50			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, single stressor"
SAMN32287732	Successfully loaded	R51		PRJNA913164	Crassostrea gigas	R51			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, multiple stressor"
SAMN32287733	Successfully loaded	R52		PRJNA913164	Crassostrea gigas	R52			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, multiple stressor"
SAMN32287734	Successfully loaded	R53		PRJNA913164	Crassostrea gigas	R53			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, multiple stressor"
SAMN32287735	Successfully loaded	R54		PRJNA913164	Crassostrea gigas	R54			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, multiple stressor"
SAMN32287736	Successfully loaded	R55		PRJNA913164	Crassostrea gigas	R55			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, multiple stressor"
SAMN32287737	Successfully loaded	R56		PRJNA913164	Crassostrea gigas	R56			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, multiple stressor"
SAMN32287738	Successfully loaded	R57		PRJNA913164	Crassostrea gigas	R57			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, multiple stressor"
SAMN32287739	Successfully loaded	R58		PRJNA913164	Crassostrea gigas	R58			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, multiple stressor"
SAMN32287740	Successfully loaded	R59		PRJNA913164	Crassostrea gigas	R59			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, multiple stressor"
SAMN32287741	Successfully loaded	R60		PRJNA913164	Crassostrea gigas	R60			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, multiple stressor"
SAMN32287742	Successfully loaded	R61		PRJNA913164	Crassostrea gigas	R61			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, multiple stressor"
SAMN32287743	Successfully loaded	R62		PRJNA913164	Crassostrea gigas	R62			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, multiple stressor"
SAMN32287744	Successfully loaded	R78		PRJNA913164	Crassostrea gigas	R78			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, single stressor"
SAMN32287745	Successfully loaded	T55		PRJNA913164	Crassostrea gigas	T55			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, control"
SAMN32287746	Successfully loaded	T56		PRJNA913164	Crassostrea gigas	T56			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, control"
SAMN32287747	Successfully loaded	T57		PRJNA913164	Crassostrea gigas	T57			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, control"
SAMN32287748	Successfully loaded	T58		PRJNA913164	Crassostrea gigas	T58			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, control"
SAMN32287749	Successfully loaded	T59		PRJNA913164	Crassostrea gigas	T59			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, control"
SAMN32287750	Successfully loaded	T60		PRJNA913164	Crassostrea gigas	T60			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, control"
SAMN32287751	Successfully loaded	T61		PRJNA913164	Crassostrea gigas	T61			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, control"
SAMN32287752	Successfully loaded	T62		PRJNA913164	Crassostrea gigas	T62			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, control"
SAMN32287753	Successfully loaded	X41		PRJNA913164	Crassostrea gigas	X41			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, single stressor"
SAMN32287754	Successfully loaded	X42		PRJNA913164	Crassostrea gigas	X42			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, single stressor"
SAMN32287755	Successfully loaded	X43		PRJNA913164	Crassostrea gigas	X43			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, single stressor"
SAMN32287756	Successfully loaded	X44		PRJNA913164	Crassostrea gigas	X44			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, single stressor"
SAMN32287757	Successfully loaded	X45		PRJNA913164	Crassostrea gigas	X45			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, control"
SAMN32287758	Successfully loaded	X46		PRJNA913164	Crassostrea gigas	X46			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, control"
SAMN32287759	Successfully loaded	X47		PRJNA913164	Crassostrea gigas	X47			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, control"
SAMN32287760	Successfully loaded	X48		PRJNA913164	Crassostrea gigas	X48			ctenidium	7/12/2021	"USA: Quilcene, WA"	ctenidium	2 years	13								47.76 N 122.85 W				"triploid, control"
